epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,28,,,161.69338989257812,0.07615573704242706,169.57559204101562,0.08122483640909195,169.57559204101562
0,28,96.91228485107422,,,,,,
1,49,,57.57489013671875,,,,,
1,57,,,126.64881896972656,0.05884901061654091,132.6558380126953,0.06248866766691208,132.6558380126953
1,57,46.46361541748047,,,,,,
2,86,,,105.90371704101562,0.04850545525550842,111.81660461425781,0.05157709866762161,111.81660461425781
2,86,37.778533935546875,,,,,,
3,99,,34.55156326293945,,,,,
3,115,,,102.63880920410156,0.04687119275331497,108.56160736083984,0.04984370991587639,108.56160736083984
3,115,33.5591926574707,,,,,,
4,144,,,94.81725311279297,0.043030671775341034,100.83390808105469,0.045800548046827316,100.83390808105469
4,144,31.599449157714844,,,,,,
