epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,28,,,169.93283081054688,0.0809674933552742,177.80690002441406,0.0858139768242836,177.80690002441406
0,28,144.89259338378906,,,,,,
1,49,,44.176090240478516,,,,,
1,57,,,117.93094635009766,0.05443211644887924,124.06932830810547,0.05780598893761635,124.06932830810547
1,57,49.692283630371094,,,,,,
2,86,,,106.4372329711914,0.04881884530186653,112.24943542480469,0.05179295316338539,112.24943542480469
2,86,35.666561126708984,,,,,,
3,99,,25.80362319946289,,,,,
3,115,,,100.32720184326172,0.045983653515577316,106.73352813720703,0.048754554241895676,106.73352813720703
3,115,30.629154205322266,,,,,,
4,144,,,93.57142639160156,0.04259590804576874,99.35143280029297,0.04517405852675438,99.35143280029297
4,144,30.322650909423828,,,,,,
5,149,,28.613496780395508,,,,,
5,173,,,91.96931457519531,0.04180999845266342,97.77605438232422,0.044323936104774475,97.77605438232422
5,173,27.7810115814209,,,,,,
6,199,,31.22977066040039,,,,,
6,202,,,88.50983428955078,0.040282078087329865,94.21881103515625,0.04256753996014595,94.21881103515625
6,202,26.962017059326172,,,,,,
7,231,,,89.53843688964844,0.04081179201602936,95.74132537841797,0.043190278112888336,95.74132537841797
7,231,27.047710418701172,,,,,,
8,249,,28.220409393310547,,,,,
8,260,,,83.62435150146484,0.037671491503715515,89.55973052978516,0.04005087912082672,89.55973052978516
8,260,26.1688232421875,,,,,,
9,289,,,85.99193572998047,0.038949474692344666,91.96296691894531,0.04126494750380516,91.96296691894531
9,289,23.341047286987305,,,,,,
10,299,,23.919008255004883,,,,,
10,318,,,83.67460632324219,0.037609539926052094,89.7469711303711,0.040064528584480286,89.7469711303711
10,318,23.84020233154297,,,,,,
11,347,,,80.92060089111328,0.0364593006670475,86.97572326660156,0.0386972539126873,86.97572326660156
11,347,23.863826751708984,,,,,,
12,349,,18.01070213317871,,,,,
12,376,,,79.77263641357422,0.0358009971678257,85.89393615722656,0.0380902923643589,85.89393615722656
12,376,22.441753387451172,,,,,,
13,399,,22.737211227416992,,,,,
13,405,,,79.18338775634766,0.03553581237792969,85.67374420166016,0.0378296859562397,85.67374420166016
13,405,22.105506896972656,,,,,,
14,434,,,77.9328384399414,0.034977179020643234,84.21604919433594,0.03716188669204712,84.21604919433594
14,434,22.007179260253906,,,,,,
15,449,,19.774301528930664,,,,,
15,463,,,83.62966918945312,0.038192879408597946,90.06497955322266,0.040333494544029236,90.06497955322266
15,463,23.09523582458496,,,,,,
16,492,,,77.47193145751953,0.0348079651594162,83.60374450683594,0.03693583980202675,83.60374450683594
16,492,22.153255462646484,,,,,,
17,499,,18.745920181274414,,,,,
17,521,,,76.99533081054688,0.034411683678627014,83.3989486694336,0.036678943783044815,83.3989486694336
17,521,21.559429168701172,,,,,,
18,549,,24.311779022216797,,,,,
18,550,,,78.70550537109375,0.03547745198011398,84.84638214111328,0.037559133023023605,84.84638214111328
18,550,21.495695114135742,,,,,,
19,579,,,76.29237365722656,0.03409447893500328,82.83734130859375,0.036333292722702026,82.83734130859375
19,579,21.13399314880371,,,,,,
20,599,,15.42536735534668,,,,,
20,608,,,75.93036651611328,0.03394824266433716,82.38469696044922,0.03613709658384323,82.38469696044922
20,608,21.334468841552734,,,,,,
21,637,,,76.73170471191406,0.034528978168964386,82.94844055175781,0.036566030234098434,82.94844055175781
21,637,20.17524528503418,,,,,,
22,649,,22.15889549255371,,,,,
22,666,,,77.36090850830078,0.034584805369377136,83.92595672607422,0.0368834063410759,83.92595672607422
22,666,20.663833618164062,,,,,,
23,695,,,78.87787628173828,0.03531720116734505,85.3714828491211,0.03762351721525192,85.3714828491211
23,695,19.8505802154541,,,,,,
24,699,,13.898359298706055,,,,,
24,724,,,78.99776458740234,0.03527950868010521,85.67123413085938,0.03771882876753807,85.67123413085938
24,724,20.597797393798828,,,,,,
25,749,,22.566102981567383,,,,,
25,753,,,77.4015884399414,0.03445661440491676,84.19884490966797,0.03688221052289009,84.19884490966797
25,753,21.41435432434082,,,,,,
26,782,,,79.7250747680664,0.03546493873000145,86.74821472167969,0.038073744624853134,86.74821472167969
26,782,20.163549423217773,,,,,,
27,799,,16.64216423034668,,,,,
27,811,,,81.68978881835938,0.03647993505001068,88.55280303955078,0.039116669446229935,88.55280303955078
27,811,19.271259307861328,,,,,,
28,840,,,79.58531188964844,0.03554040193557739,86.26692962646484,0.03802771866321564,86.26692962646484
28,840,19.595966339111328,,,,,,
29,849,,17.145814895629883,,,,,
29,869,,,81.25236511230469,0.03623579442501068,88.45166015625,0.03889434039592743,88.45166015625
29,869,19.342077255249023,,,,,,
30,898,,,83.57171630859375,0.03758256137371063,90.38398742675781,0.04016406834125519,90.38398742675781
30,898,19.920360565185547,,,,,,
31,899,,20.373369216918945,,,,,
31,927,,,81.72138977050781,0.03651688992977142,88.73298645019531,0.039159711450338364,88.73298645019531
31,927,19.121437072753906,,,,,,
32,949,,18.572431564331055,,,,,
