epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,28,,,95.25309753417969,0.043234411627054214,101.35026550292969,0.04601113125681877,101.35026550292969
0,28,32.48806381225586,,,,,,
1,49,,28.991640090942383,,,,,
1,57,,,89.72318267822266,0.04058150202035904,95.82123565673828,0.04320131987333298,95.82123565673828
1,57,27.89864730834961,,,,,,
2,86,,,89.3666000366211,0.04051107540726662,95.41316986083984,0.04306161031126976,95.41316986083984
2,86,26.584152221679688,,,,,,
3,99,,22.675029754638672,,,,,
3,115,,,90.9417724609375,0.041098788380622864,97.43427276611328,0.04381831735372543,97.43427276611328
3,115,27.71166229248047,,,,,,
4,144,,,98.60685729980469,0.044875726103782654,105.63675689697266,0.047883667051792145,105.63675689697266
4,144,26.65451431274414,,,,,,
5,149,,23.249910354614258,,,,,
5,173,,,92.77070617675781,0.04202770069241524,99.07421875,0.04486145079135895,99.07421875
5,173,25.354084014892578,,,,,,
6,199,,22.1149959564209,,,,,
6,202,,,90.81153869628906,0.04086581617593765,97.59575653076172,0.043789491057395935,97.59575653076172
6,202,24.29143714904785,,,,,,
7,231,,,91.99745178222656,0.04150102660059929,98.66239166259766,0.044344086199998856,98.66239166259766
7,231,23.84621238708496,,,,,,
8,249,,29.875118255615234,,,,,
8,260,,,89.61514282226562,0.04027413949370384,96.19368743896484,0.04316683113574982,96.19368743896484
8,260,23.935701370239258,,,,,,
9,289,,,91.44438934326172,0.04108642041683197,98.3760986328125,0.044141579419374466,98.3760986328125
9,289,23.417192459106445,,,,,,
10,299,,25.051586151123047,,,,,
10,318,,,91.04142761230469,0.04087931290268898,98.13223266601562,0.04394559562206268,98.13223266601562
10,318,23.073932647705078,,,,,,
11,347,,,93.27021789550781,0.041879065334796906,100.96910858154297,0.04506789520382881,100.96910858154297
11,347,22.921401977539062,,,,,,
12,349,,22.626691818237305,,,,,
12,376,,,86.2914810180664,0.03868584707379341,93.26622772216797,0.041443049907684326,93.26622772216797
12,376,21.661314010620117,,,,,,
13,399,,19.24319076538086,,,,,
13,405,,,89.90231323242188,0.04038277268409729,97.16571807861328,0.04336763545870781,97.16571807861328
13,405,22.68170738220215,,,,,,
14,434,,,88.89549255371094,0.03971400484442711,96.19001770019531,0.04279503971338272,96.19001770019531
14,434,21.86420249938965,,,,,,
15,449,,20.374319076538086,,,,,
15,463,,,82.95389556884766,0.037074100226163864,89.93931579589844,0.03974776342511177,89.93931579589844
15,463,21.135469436645508,,,,,,
16,492,,,80.85564422607422,0.03633330389857292,87.43975067138672,0.03869653865695,87.43975067138672
16,492,21.48219108581543,,,,,,
17,499,,23.01484489440918,,,,,
17,521,,,88.31251525878906,0.03998616337776184,95.09912872314453,0.04253329336643219,95.09912872314453
17,521,21.637968063354492,,,,,,
18,549,,17.242002487182617,,,,,
18,550,,,84.59146881103516,0.038119543343782425,91.0293197631836,0.040658943355083466,91.0293197631836
18,550,22.327587127685547,,,,,,
19,579,,,80.90872192382812,0.036241475492715836,87.62322998046875,0.038701657205820084,87.62322998046875
19,579,20.602022171020508,,,,,,
20,599,,22.04358673095703,,,,,
20,608,,,81.3006591796875,0.03664156794548035,87.8896255493164,0.03901403397321701,87.8896255493164
20,608,20.434005737304688,,,,,,
21,637,,,84.13273620605469,0.037924088537693024,90.7297592163086,0.04033413529396057,90.7297592163086
21,637,20.23457908630371,,,,,,
22,649,,23.4977970123291,,,,,
22,666,,,80.5256118774414,0.036304447799921036,86.97259521484375,0.03856740519404411,86.97259521484375
22,666,20.53943634033203,,,,,,
23,695,,,78.1004638671875,0.034993890672922134,84.68672180175781,0.03725196048617363,84.68672180175781
23,695,20.81875228881836,,,,,,
24,699,,23.09418487548828,,,,,
24,724,,,76.61064910888672,0.03434796258807182,83.1776123046875,0.0365421436727047,83.1776123046875
24,724,19.630311965942383,,,,,,
25,749,,18.808237075805664,,,,,
25,753,,,78.29083251953125,0.03505953028798103,85.04869842529297,0.03740701824426651,85.04869842529297
25,753,19.68870735168457,,,,,,
26,782,,,77.17872619628906,0.03467566519975662,83.67851257324219,0.0367952398955822,83.67851257324219
26,782,20.788408279418945,,,,,,
27,799,,16.150442123413086,,,,,
27,811,,,73.57506561279297,0.03283103182911873,80.29564666748047,0.03496794402599335,80.29564666748047
27,811,19.603845596313477,,,,,,
28,840,,,72.03816223144531,0.032387468963861465,78.35160064697266,0.03426379710435867,78.35160064697266
28,840,19.962013244628906,,,,,,
29,849,,21.3700008392334,,,,,
29,869,,,71.49093627929688,0.03202687203884125,78.13118743896484,0.03397421911358833,78.13118743896484
29,869,18.89080047607422,,,,,,
