epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,28,,,144.2963104248047,0.06781536340713501,151.14862060546875,0.07194935530424118,151.14862060546875
0,28,114.71794128417969,,,,,,
1,49,,44.27544403076172,,,,,
1,57,,,112.60005950927734,0.051907289773225784,118.35719299316406,0.05508056655526161,118.35719299316406
1,57,44.73942565917969,,,,,,
2,86,,,99.25695037841797,0.045342620462179184,105.2303695678711,0.04812205210328102,105.2303695678711
2,86,34.10633850097656,,,,,,
3,99,,49.27923583984375,,,,,
3,115,,,97.29017639160156,0.04443756863474846,103.4267578125,0.047253407537937164,103.4267578125
3,115,32.60367965698242,,,,,,
4,144,,,92.22563934326172,0.041791874915361404,98.48249053955078,0.04454933851957321,98.48249053955078
4,144,29.036474227905273,,,,,,
5,149,,28.242603302001953,,,,,
5,173,,,88.10794067382812,0.03969656303524971,94.59676361083984,0.04239624738693237,94.59676361083984
5,173,28.753755569458008,,,,,,
6,199,,24.15422248840332,,,,,
6,202,,,91.45455169677734,0.041265204548835754,98.31591796875,0.04419879615306854,98.31591796875
6,202,27.22644805908203,,,,,,
7,231,,,88.76067352294922,0.03991296514868736,95.64466857910156,0.04271335154771805,95.64466857910156
7,231,25.870420455932617,,,,,,
8,249,,29.703397750854492,,,,,
8,260,,,88.48187255859375,0.03964681178331375,95.37825775146484,0.042579036206007004,95.37825775146484
8,260,25.90117835998535,,,,,,
9,289,,,91.33063507080078,0.04098011925816536,98.2323989868164,0.044062137603759766,98.2323989868164
9,289,24.216228485107422,,,,,,
10,299,,21.099525451660156,,,,,
10,318,,,84.5895767211914,0.03796615079045296,91.3109359741211,0.04057958349585533,91.3109359741211
10,318,24.65273094177246,,,,,,
11,347,,,84.86363983154297,0.03811469301581383,91.75566864013672,0.040721844881772995,91.75566864013672
11,347,23.743751525878906,,,,,,
12,349,,25.946474075317383,,,,,
12,376,,,83.58228302001953,0.03751335293054581,90.34645080566406,0.04008294641971588,90.34645080566406
12,376,23.536897659301758,,,,,,
13,399,,26.626306533813477,,,,,
13,405,,,81.44268798828125,0.03653969243168831,88.33362579345703,0.03902324661612511,88.33362579345703
13,405,22.02770233154297,,,,,,
14,434,,,80.86595916748047,0.036412313580513,87.48617553710938,0.03872061148285866,87.48617553710938
14,434,21.626220703125,,,,,,
15,449,,15.920649528503418,,,,,
15,463,,,78.39030456542969,0.03521425276994705,85.21951293945312,0.03748716413974762,85.21951293945312
15,463,22.315902709960938,,,,,,
16,492,,,79.08460998535156,0.035572633147239685,86.24292755126953,0.03789816424250603,86.24292755126953
16,492,21.789630889892578,,,,,,
17,499,,22.251487731933594,,,,,
17,521,,,78.94358825683594,0.0354362390935421,85.72844696044922,0.037751998752355576,85.72844696044922
17,521,22.247947692871094,,,,,,
18,549,,18.79037094116211,,,,,
18,550,,,82.38353729248047,0.03694164380431175,89.17041778564453,0.0394478477537632,89.17041778564453
18,550,21.227115631103516,,,,,,
19,579,,,81.76338195800781,0.03677033632993698,88.34980010986328,0.03915851563215256,88.34980010986328
19,579,20.8613338470459,,,,,,
20,599,,18.439603805541992,,,,,
20,608,,,84.12757110595703,0.03767562285065651,90.86257934570312,0.04035589471459389,90.86257934570312
20,608,22.239437103271484,,,,,,
21,637,,,81.75582122802734,0.03665119782090187,88.58845520019531,0.039181631058454514,88.58845520019531
21,637,21.50016212463379,,,,,,
22,649,,17.934720993041992,,,,,
22,666,,,82.2397689819336,0.03694046288728714,88.89515686035156,0.03944358229637146,88.89515686035156
22,666,20.92806053161621,,,,,,
23,695,,,83.6274642944336,0.03757215291261673,90.33599853515625,0.0401793010532856,90.33599853515625
23,695,21.273576736450195,,,,,,
24,699,,22.248023986816406,,,,,
24,724,,,80.94886779785156,0.03641616180539131,87.63612365722656,0.038819365203380585,87.63612365722656
24,724,19.557085037231445,,,,,,
25,749,,20.572437286376953,,,,,
25,753,,,80.46730041503906,0.03611254692077637,87.57754516601562,0.03854358568787575,87.57754516601562
25,753,19.545833587646484,,,,,,
26,782,,,78.11007690429688,0.03518266975879669,85.20819091796875,0.03742995113134384,85.20819091796875
26,782,19.983196258544922,,,,,,
27,799,,18.235816955566406,,,,,
27,811,,,75.91990661621094,0.033970125019550323,82.8014907836914,0.03621258959174156,82.8014907836914
27,811,18.98686981201172,,,,,,
28,840,,,81.53125762939453,0.036640364676713943,88.31085968017578,0.039018843322992325,88.31085968017578
28,840,18.67218017578125,,,,,,
29,849,,17.638652801513672,,,,,
29,869,,,78.6257553100586,0.035106368362903595,85.54666137695312,0.03752497211098671,85.54666137695312
29,869,19.939672470092773,,,,,,
