epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,28,,,151.22166442871094,0.07087568193674088,158.9147186279297,0.07553167641162872,158.9147186279297
0,28,84.3930892944336,,,,,,
1,49,,38.643863677978516,,,,,
1,57,,,124.98743438720703,0.058018043637275696,131.24261474609375,0.06158863380551338,131.24261474609375
1,57,47.780189514160156,,,,,,
2,86,,,106.57565307617188,0.048712410032749176,113.00045013427734,0.05188598483800888,113.00045013427734
2,86,35.178585052490234,,,,,,
3,99,,25.872459411621094,,,,,
3,115,,,103.14889526367188,0.047277867794036865,108.94139862060547,0.05017745867371559,108.94139862060547
3,115,31.113269805908203,,,,,,
4,144,,,103.68862915039062,0.0475471056997776,110.01673126220703,0.05045387148857117,110.01673126220703
4,144,27.93881607055664,,,,,,
5,149,,30.159170150756836,,,,,
5,173,,,95.4930648803711,0.04339297488331795,101.5436782836914,0.046123698353767395,101.5436782836914
5,173,27.190311431884766,,,,,,
6,199,,21.45473861694336,,,,,
6,202,,,89.44927215576172,0.040653035044670105,95.19937133789062,0.043104566633701324,95.19937133789062
6,202,25.607685089111328,,,,,,
7,231,,,90.5383071899414,0.04109856113791466,96.65943145751953,0.043613020330667496,96.65943145751953
7,231,26.020370483398438,,,,,,
8,249,,18.865676879882812,,,,,
8,260,,,92.49868774414062,0.042099762707948685,98.9331283569336,0.04471573606133461,98.9331283569336
8,260,24.196514129638672,,,,,,
9,289,,,86.15919494628906,0.038841258734464645,92.02268981933594,0.04135076701641083,92.02268981933594
9,289,24.289827346801758,,,,,,
10,299,,25.24532699584961,,,,,
10,318,,,86.48189544677734,0.03903762996196747,92.37801361083984,0.04151710495352745,92.37801361083984
10,318,24.143949508666992,,,,,,
11,347,,,87.27835083007812,0.03941907733678818,93.25530242919922,0.04191349074244499,93.25530242919922
11,347,24.103544235229492,,,,,,
12,349,,19.041847229003906,,,,,
12,376,,,87.71054077148438,0.03960053250193596,93.55778503417969,0.04218195006251335,93.55778503417969
12,376,23.50758934020996,,,,,,
13,399,,25.476350784301758,,,,,
13,405,,,87.0692367553711,0.03920421004295349,93.11712646484375,0.041800983250141144,93.11712646484375
13,405,23.160831451416016,,,,,,
14,434,,,91.48342895507812,0.04140615835785866,97.24942016601562,0.04411882534623146,97.24942016601562
14,434,23.021625518798828,,,,,,
15,449,,22.30392837524414,,,,,
15,463,,,85.26321411132812,0.03837460279464722,91.21221160888672,0.04089962691068649,91.21221160888672
15,463,22.49467658996582,,,,,,
16,492,,,87.58953094482422,0.03949851170182228,93.6767578125,0.042064204812049866,93.6767578125
16,492,21.80976676940918,,,,,,
17,499,,23.583057403564453,,,,,
17,521,,,83.61578369140625,0.0376766175031662,89.78295135498047,0.04010027274489403,89.78295135498047
17,521,21.549219131469727,,,,,,
18,549,,22.907136917114258,,,,,
18,550,,,82.66546630859375,0.037176407873630524,88.65686798095703,0.039593517780303955,88.65686798095703
18,550,22.202510833740234,,,,,,
19,579,,,82.45416259765625,0.037019647657871246,88.50032806396484,0.03944665938615799,88.50032806396484
19,579,21.213661193847656,,,,,,
20,599,,29.58236312866211,,,,,
20,608,,,80.91181182861328,0.03628972917795181,86.95389556884766,0.0386652834713459,86.95389556884766
20,608,21.270601272583008,,,,,,
21,637,,,81.09005737304688,0.03639219328761101,87.25559997558594,0.03877601772546768,87.25559997558594
21,637,21.43695831298828,,,,,,
22,649,,18.474300384521484,,,,,
22,666,,,85.69707489013672,0.03847450390458107,91.65222930908203,0.04107961431145668,91.65222930908203
22,666,22.31123924255371,,,,,,
23,695,,,81.61302947998047,0.036701641976833344,87.59125518798828,0.03904220089316368,87.59125518798828
23,695,20.941198348999023,,,,,,
24,699,,18.10502815246582,,,,,
24,724,,,81.84109497070312,0.03674468398094177,87.91070556640625,0.03917242959141731,87.91070556640625
24,724,20.79338836669922,,,,,,
25,749,,27.139320373535156,,,,,
25,753,,,81.28250885009766,0.03654324635863304,87.32052612304688,0.03888235613703728,87.32052612304688
25,753,21.10282325744629,,,,,,
26,782,,,81.94657135009766,0.036737438291311264,87.90798950195312,0.03917775675654411,87.90798950195312
26,782,20.860170364379883,,,,,,
27,799,,20.786657333374023,,,,,
27,811,,,80.56796264648438,0.03615008667111397,86.55239868164062,0.03848578408360481,86.55239868164062
27,811,20.02353286743164,,,,,,
28,840,,,80.60436248779297,0.036217957735061646,86.60128784179688,0.038545168936252594,86.60128784179688
28,840,20.41035270690918,,,,,,
29,849,,19.523433685302734,,,,,
29,869,,,80.81359100341797,0.036317575722932816,86.72612762451172,0.03865741565823555,86.72612762451172
29,869,20.048038482666016,,,,,,
